276 covert files
ok sub-01/nirs/sub-01_task-covert_run-01_nirs.json 373
ok sub-01/nirs/sub-01_task-covert_run-02_nirs.json 373
ok sub-01/nirs/sub-01_task-covert_run-01_events.tsv 1005
ok sub-01/nirs/sub-01_task-covert_run-02_events.tsv 996
ok sub-01/nirs/sub-01_task-covert_run-01_recording-eyetracking_physio.json 393
ok sub-02/nirs/sub-02_task-covert_run-01_events.tsv 1001
ok sub-02/nirs/sub-02_task-covert_run-01_nirs.json 372
ok sub-01/nirs/sub-01_task-covert_run-02_recording-eyetracking_physio.json 393
ok sub-02/nirs/sub-02_task-covert_run-02_events.tsv 968
ok sub-02/nirs/sub-02_task-covert_run-01_recording-eyetracking_physio.json 392
ok sub-02/nirs/sub-02_task-covert_run-02_nirs.json 373
ok sub-01/nirs/sub-01_task-covert_run-02_recording-eyetracking_physio.tsv 13175429
ok sub-01/nirs/sub-01_task-covert_run-01_recording-eyetracking_physio.tsv 14024678
ok sub-02/nirs/sub-02_task-covert_run-02_recording-eyetracking_physio.json 393
ok sub-03/nirs/sub-03_task-covert_run-01_events.tsv 971
ok sub-03/nirs/sub-03_task-covert_run-01_nirs.json 373
ok sub-02/nirs/sub-02_task-covert_run-01_recording-eyetracking_physio.tsv 14493403
ok sub-03/nirs/sub-03_task-covert_run-01_recording-eyetracking_physio.json 389
ok sub-02/nirs/sub-02_task-covert_run-02_recording-eyetracking_physio.tsv 14035019
ok sub-03/nirs/sub-03_task-covert_run-02_events.tsv 1003
ok sub-03/nirs/sub-03_task-covert_run-01_recording-eyetracking_physio.tsv 15694411
ok sub-03/nirs/sub-03_task-covert_run-02_nirs.json 372
ok sub-03/nirs/sub-03_task-covert_run-02_recording-eyetracking_physio.json 392
ok sub-03/nirs/sub-03_task-covert_run-02_recording-eyetracking_physio.tsv 15143497
ok sub-01/nirs/sub-01_task-covert_run-02_nirs.snirf 123978960
ok sub-04/nirs/sub-04_task-covert_run-01_nirs.json 371
